"IBAN/BBAN","Munt","BIC","Volgnr","Datum","Rentedatum","Bedrag","Saldo na trn","Tegenrekening IBAN/BBAN","Naam tegenpartij","Naam uiteindelijke partij","Naam initiërende partij","BIC tegenpartij","Code","Batch ID","Transactiereferentie","Machtigingskenmerk","Incassant ID","Betalingskenmerk","Omschrijving-1","Omschrijving-2","Omschrijving-3","Reden retour","Oorspr bedrag","Oorspr munt","Koers"
"NL99RABO0000000001","EUR","RABONL2U","1001","2026-01-05","2026-01-05","+1.234,56","+6.234,56","NL12INGB0001234567","Zwemles ouders januari","","","","cb","","R1001","","","","Lesgeld januari groep 1","verzamelbetaling","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1002","2026-01-06","2026-01-06","-1.850,00","+4.384,56","NL34ABNA0009876543","Optisport Exploitaties B.V.","","","","ei","","R1002","","","","Huur zwembad januari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1003","2026-01-08","2026-01-08","+450,00","+4.834,56","NL56RABO0005556667","J. de Boer","","","","cb","","R1003","","","","Lesgeld janüari café","proefles","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1004","2026-01-10","2026-01-10","-129,99","+4.704,57","NL78KNAB0004443332","Zwemshop Nederland","","","","db","","R1004","","","","Zwemplankjes en materiaal","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1005","2026-01-12","2026-01-12","+2.600,50","+7.305,07","NL12INGB0001234567","Zwemles ouders januari","","","","cb","","R1005","","","","Lesgeld januari groep 2","verzamelbetaling","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1006","2026-01-15","2026-01-15","-350,00","+6.955,07","NL90NNIA0001112223","Nationale Nederlanden","","","","ei","","R1006","","","","Aansprakelijkheidsverzekering Q1","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1007","2026-01-18","2026-01-18","-49,99","+6.905,08","","Canva Pty Ltd","","","","db","","R1007","","","","Canva Pro subscription","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1008","2026-01-20","2026-01-20","-950,00","+5.955,08","NL11RABO0007778889","A. Jansen","","","","cb","","R1008","","","","Salaris instructeur januari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1009","2026-01-25","2026-01-25","-12,50","+5.942,58","","Rabobank Nederland","","","","db","","R1009","","","","Kosten zakelijk pakket","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1010","2026-01-28","2026-01-28","+850,75","+6.793,33","NL12INGB0001234567","Zwemles ouders","","","","cb","","R1010","","","","Lesgeld nakomers januari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1011","2026-02-02","2026-02-02","+3.100,00","+9.893,33","NL12INGB0001234567","Zwemles ouders februari","","","","cb","","R1011","","","","Lesgeld februari groep 1+2","verzamelbetaling","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1012","2026-02-03","2026-02-03","-1.850,00","+8.043,33","NL34ABNA0009876543","Optisport Exploitaties B.V.","","","","ei","","R1012","","","","Huur zwembad februari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1013","2026-02-05","2026-02-05","-150,00","+7.893,33","NL22INGB0002223334","Facebook Ireland","","","","db","","R1013","","","","Advertenties februari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1014","2026-02-08","2026-02-08","-950,00","+6.943,33","NL11RABO0007778889","A. Jansen","","","","cb","","R1014","","","","Salaris instructeur februari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1015","2026-02-10","2026-02-10","+450,00","+7.393,33","NL56RABO0005556667","M. van Dijk","","","","cb","","R1015","","","","Lesgeld proeflessen","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1016","2026-02-14","2026-02-14","-89,00","+7.304,33","NL45BUNQ0003334445","Drukkerij Print&Zo","","","","db","","R1016","","","","Flyers open dag","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1017","2026-02-18","2026-02-18","-49,99","+7.254,34","","Canva Pty Ltd","","","","db","","R1017","","","","Canva Pro subscription","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1018","2026-02-20","2026-02-20","+1.234,00","+8.488,34","NL12INGB0001234567","Zwemles ouders","","","","cb","","R1018","","","","Lesgeld nakomers februari","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1019","2026-02-24","2026-02-24","-12,50","+8.475,84","","Rabobank Nederland","","","","db","","R1019","","","","Kosten zakelijk pakket","","","","","",""
"NL99RABO0000000001","EUR","RABONL2U","1020","2026-02-27","2026-02-27","-225,50","+8.250,34","NL67ASNB0006667778","Zwemshop Nederland","","","","db","","R1020","","","","Badmutsen en zwembrillen","met logo","","","","",""
